,url,titre,tags,tag_1,temps,cout,difficulte,note,like,partage,utilisateur,type,ingredients,ingred_clean_lemma,ingred_clean,regime
428,https://www.marmiton.org/recettes/recette_houmous-de-potimarron-a-l-indienne_391509.aspx,houmous de potimarron à l’indienne patak's,"['amuse-gueule', 'apéritif dînatoire', 'dip et tartinade']",amuse-gueule,45.0,bon marché,facile,0.0,0.0,0,non spécifié,nc,"['g de potimarron', ""gousse d'ail"", 'g de pois chiches', 'g de tahin', 'cuillère à café de pâte de curry tikka masala patak’s', 'jus de citron', 'sel', 'poivre', 'pain indien naan']","['gramme de potimarron', 'gousse de ail', 'gramme de pois chiche', 'gramme de tahin', 'cuillère à café de pâte de curry tikka masala patak’ s', 'jus de citron', 'sel', 'poivre', 'pain indien naan']","['potimarron', 'ail', 'pois chiche', 'tahin', 'pâte curry tikka masala patak’', 'jus citron', 'sel', 'poivre', 'pain indien naan']",['général']
429,https://www.marmiton.org/recettes/recette_poulet-roti-a-la-marocaine-recette-facile-mais-bonne_81375.aspx,poulet rôti à la marocaine (recette facile mais bonne),"['plat principal', 'sans gluten', 'viande rôtie', 'viande', 'poulet rôti']",plat principal,60.0,bon marché,très facile,5.0,337.0,13,margot_13727306,viande,"['poulet', 'oignons', ""gousses d'ail"", 'bouquet de coriandre', 'cuillère à café de cumin', 'cuillère à café de safran', 'piment', 'g de beurre', 'sel', ""verre d'eau""]","['poulet', 'oignon', 'gousse de ail', 'bouquet de coriandre', 'cuillère à café de cumin', 'cuillère à café de safran', 'piment', 'gramme de beurre', 'sel', 'verre de eau']","['poulet', 'oignon', 'ail', 'coriandre', 'cumin', 'safran', 'piment', 'beurre', 'sel', 'eau']","['général', 'sans gluten']"
430,https://www.marmiton.org/recettes/recette_chou-blanc-a-la-viande-hachee-recette-allemande_81182.aspx,chou blanc à la viande hachée (recette allemande),"['plat principal', 'sans gluten']",plat principal,70.0,bon marché,facile,4.5,6400.0,58,rose_16353005,viande,"['chou blanc', 'g de viande', 'oignons', 'oeufs', 'g de crème fraîche épaisse', 'ml de lait', 'huile', 'poivre', 'sel', 'cuillère à soupe de carvi']","['chou blanc', 'gramme de viande', 'oignon', 'oeuf', 'gramme de crème frais épaisse', 'millilitre de lait', 'huile', 'poivre', 'sel', 'cuillère à soupe de carvi']","['chou blanc', 'viande', 'oignon', 'oeuf', 'crème épaisse', 'millilitre lait', 'huile', 'poivre', 'sel', 'carvi']","['général', 'sans gluten']"
431,https://www.marmiton.org/recettes/recette_flan-de-tapioca-aux-bananes-et-aux-epices-recette-malgache_29663.aspx,flan de tapioca aux bananes et aux épices (recette malgache),"['dessert', 'végétarien', 'sans gluten', 'flan', 'délices des iles']",dessert,40.0,bon marché,facile,4.0,214.0,5,Natacha,fruit,"['cl de lait', 'gousse de vanille', 'cuillères à soupe de sucre semoule', 'pincée de muscade', 'pincée de clou de girofle', 'cuillères à soupe de tapioca', 'cuillères à soupe de crème', 'bananes', 'g de beurre', 'oeufs']","['cl de lait', 'gousse de vanille', 'cuillère à soupe de sucre semoul', 'pincée de muscade', 'pincée de clou de girofle', 'cuillère à soupe de tapioca', 'cuillère à soupe de crème', 'banane', 'gramme de beurre', 'oeuf']","['lait', 'vanille', 'sucre semoul', 'muscade', 'clou girofle', 'tapioca', 'crème', 'banane', 'beurre', 'oeuf']","['général', 'végétarien', 'sans gluten']"
432,https://www.marmiton.org/recettes/recette_etoiles-de-noel-au-fromage_93606.aspx,etoiles de noël au fromage,"['entrée', 'végétarien', 'entrée de noël']",entrée,21.0,bon marché,très facile,0.0,161.0,0,elena_16407206,legume,"['g de farine', 'cuillère à café de sel', 'g de beurre', 'g de fromage râpé', 'oeuf']","['gramme de farine', 'cuillère à café de sel', 'gramme de beurre', 'gramme de fromage râpé', 'oeuf']","['farine', 'sel', 'beurre', 'fromage râpé', 'oeuf']","['général', 'végétarien']"
433,https://www.marmiton.org/recettes/recette_truffes-a-la-noix-de-coco-et-au-nutella_346549.aspx,truffes à la noix de coco et au nutella®,"['confiserie', 'végétarien', 'sans gluten']",confiserie,84.0,bon marché,Niveau moyen,5.0,268.0,6,non spécifié,chocolat,"['oeuf', 'g de sucre en poudre', 'g de noix de coco rapée', 'g de nutella®']","['oeuf', 'gramme de sucre en poudre', 'gramme de noix de coco rapée', 'gramme de nutella ®']","['oeuf', 'sucre', 'noix coco rapée', 'nutella ®']","['général', 'végétarien', 'sans gluten']"
434,https://www.marmiton.org/recettes/recette_gateau-russe-de-noel_33923.aspx,gâteau russe de noël,"['dessert', 'végétarien', 'petits gâteaux', 'gâteau', 'biscuits de noël']",dessert,40.0,bon marché,facile,4.3,293.0,4,felix_16942251,autre,"['oeufs', 'g de beurre', 'g de sucre semoule', 'g de sucre glace', 'g de farine', 'g de noix', 'sachet de sucre vanillé', 'cuillère à soupe de chocolat en poudre']","['oeuf', 'gramme de beurre', 'gramme de sucre semoul', 'gramme de sucre glac', 'gramme de farine', 'gramme de noix', 'sachet de sucre vanillé', 'cuillère à soupe de chocolat en poudre']","['oeuf', 'beurre', 'sucre semoul', 'sucre glac', 'farine', 'noix', 'sucre vanillé', 'chocolat']","['général', 'végétarien']"
435,https://www.marmiton.org/recettes/recette_hilda-petits-gateaux-de-noel-alsaciens-fourres-framboise-hildabredle_52955.aspx,hilda : petits gâteaux de noël alsaciens fourrés framboise (hildabredle),"['dessert', 'végétarien', 'petits gâteaux', 'gâteau', 'biscuits de noël']",dessert,16.0,bon marché,très facile,4.2,416.0,2,noor_17594824,fruit,"['oeuf', 'g de farine', 'g de sucre', 'g de beurre', ""g d'amandes"", 'g de sucre glace', 'pincée de cannelle', 'confiture']","['oeuf', 'gramme de farine', 'gramme de sucre', 'gramme de beurre', 'gramme de amande', 'gramme de sucre glac', 'pincée de cannelle', 'confiture']","['oeuf', 'farine', 'sucre', 'beurre', 'amande', 'sucre glac', 'cannelle', 'confiture']","['général', 'végétarien']"
436,https://www.marmiton.org/recettes/recette_knedliky-recette-tcheque_32723.aspx,knedliky (recette tchèque),"['accompagnement', 'végétarien']",accompagnement,50.0,bon marché,très facile,3.9,186.0,3,lina_13348039,nc,"['oeufs', 'g de farine', 'cube de levure']","['oeuf', 'gramme de farine', 'cube de levure']","['oeuf', 'farine', 'cube levure']","['général', 'végétarien']"
437,https://www.marmiton.org/recettes/recette_champ-recette-irlandaise_167427.aspx,champ (recette irlandaise),"['accompagnement', 'végétarien', 'sans gluten']",accompagnement,50.0,bon marché,très facile,5.0,57.0,0,sofia_14312438,nc,"['pommes de terre', ""g d'oignon nouveau"", 'l de lait', 'persil', 'beurre', 'poivre', 'sel']","['pomme de terre', 'gramme de oignon nouveau', 'l de lait', 'persil', 'beurre', 'poivre', 'sel']","['pomme terre', 'oignon nouveau', 'lait', 'persil', 'beurre', 'poivre', 'sel']","['général', 'végétarien', 'sans gluten']"
438,https://www.marmiton.org/recettes/recette_melon-au-granite-de-monbazillac-par-laurent-mariotte_527923.aspx,melon au granité de monbazillac par laurent mariotte,"['dessert', 'végétarien', 'sans gluten', 'rapide', 'dessert glacé']",dessert,255.0,bon marché,facile,5.0,0.0,0,non spécifié,fruit,"['melons', 'cl de monbazillac', 'cl de sirop de canne', 'tiges de menthe']","['melon', 'cl de monbazillac', 'cl de sirop de canne', 'tige de menthe']","['melon', 'monbazillac', 'sirop canne', 'tige menthe']","['général', 'végétarien', 'sans gluten']"
439,https://www.marmiton.org/recettes/recette_rosolli-recette-laponne_35053.aspx,rosolli (recette laponne),"['entrée', 'sans gluten']",entrée,40.0,bon marché,très facile,0.0,31.0,0,dan2combs,legume,"['betteraves', 'pommes de terre', 'concombre', 'carottes', 'oignon', 'paquet de hareng', 'oignon', 'vinaigrette']","['betterave', 'pomme de terre', 'concombre', 'carotte', 'oignon', 'paquet de hareng', 'oignon', 'vinaigrette']","['betterave', 'pomme terre', 'concombre', 'carotte', 'oignon', 'hareng', 'oignon', 'vinaigrette']","['général', 'sans gluten']"
440,https://www.marmiton.org/recettes/recette_beignets-aux-fleurs-d-acacias-placki-recette-polonaise_90475.aspx,"beignets aux fleurs d'acacias (placki, recette polonaise)","['dessert', 'végétarien', 'beignet et friture', 'beignets sucrés']",dessert,40.0,bon marché,très facile,5.0,95.0,2,elena_14699733,autre,"[""fleurs d'acacia"", 'oeufs', 'cuillères à soupe de farine', 'cuillères à café de sucre', 'cl de lait', 'huile de friture']","['fleur de acacia', 'oeuf', 'cuillère à soupe de farine', 'cuillère à café de sucre', 'cl de lait', 'huile de friture']","['fleur acacia', 'oeuf', 'farine', 'sucre', 'lait', 'huile friture']","['général', 'végétarien']"
441,https://www.marmiton.org/recettes/recette_poivrons-farcis-aux-oeufs-recette-micro-ondes_345580.aspx,poivrons farcis aux œufs (recette micro-ondes),"['plat principal', 'végétarien', 'sans gluten', 'rapide', 'plat unique', 'légumes farcis']",plat principal,15.0,bon marché,très facile,0.0,288.0,4,julia_13846611,legume,"['poivrons', 'oeufs', 'poignée de gruyère râpé', 'cl de crème fraîche', 'pincée de sel', 'pincée de poivre']","['poivron', 'oeuf', 'poignée de gruyèr râpé', 'cl de crème fraîche', 'pincée de sel', 'pincée de poivre']","['poivron', 'oeuf', 'gruyèr râpé', 'crème fraîche', 'sel', 'poivre']","['général', 'végétarien', 'sans gluten']"
442,https://www.marmiton.org/recettes/recette_sufllaqe-recette-albanaise_337825.aspx,sufllaqe (recette albanaise),"['plat principal', 'rapide']",plat principal,15.0,bon marché,facile,0.0,26.0,0,lina_14936201,legume,"['g de tomate', 'g de viande', 'pommes de terre', 'g de sauce blanche', 'oignon', 'ketchup', 'pain indien naan', 'huile de friture']","['gramme de tomate', 'gramme de viande', 'pomme de terre', 'gramme de sauce blanc', 'oignon', 'ketchup', 'pain indien naan', 'huile de friture']","['tomate', 'viande', 'pomme terre', 'sauce blanc', 'oignon', 'ketchup', 'pain indien naan', 'huile friture']",['général']
443,https://www.marmiton.org/recettes/recette_carpaccio-d-aiguillettes-de-canard-par-laurent-mariotte_527985.aspx,carpaccio d'aiguillettes de canard par laurent mariotte,"['plat principal', 'sans gluten', 'entrée froide', 'carpaccio']",plat principal,33.0,Coût moyen,facile,0.0,0.0,0,non spécifié,viande,"['aiguillettes de canard', 'cuillère à soupe de câpres', 'tomate', 'radis', 'courgette', 'basilic', ""dl d'huile d'olive"", 'sel', 'poivre', ""piment d'espelette""]","['aiguillette de canard', 'cuillère à soupe de câpre', 'tomate', 'radis', 'courgette', 'basilic', 'dl de huile de olive', 'sel', 'poivre', 'piment de espelette']","['aiguillette canard', 'câpre', 'tomate', 'radis', 'courgette', 'basilic', 'huile olive', 'sel', 'poivre', 'piment espelette']","['général', 'sans gluten']"
444,https://www.marmiton.org/recettes/recette_pho-recette-rapide_62326.aspx,pho (recette rapide),"['plat principal', 'plat unique', 'plats vietnamiens']",plat principal,20.0,Coût moyen,facile,2.8,162.0,0,JeanMichel_198,legume,"['cube de bouillon', 'cube de bouillon', ""cuillères à café de sauce d'huître"", 'g de vermicelles de soja', 'g de rosbif', 'échalotes', 'citron', 'arachides', 'cuillères à café de sésame', ""l d'eau"", 'coriandre', 'menthe']","['cube de bouillon', 'cube de bouillon', 'cuillère à café de sauce de huître', 'gramme de vermicelle de soja', 'gramme de rosbif', 'échalote', 'citron', 'arachide', 'cuillère à café de sésame', 'l de eau', 'coriandr', 'menthe']","['cube bouillon', 'cube bouillon', 'sauce huître', 'vermicelle soja', 'rosbif', 'échalote', 'citron', 'arachide', 'sésame', 'eau', 'coriandr', 'menthe']",['général']
445,https://www.marmiton.org/recettes/recette_biscuits-allemands-pour-noel_166566.aspx,biscuits allemands pour noël,"['confiserie', 'végétarien', 'petits gâteaux', 'gâteau', 'biscuits de noël']",confiserie,23.0,bon marché,facile,4.3,328.0,2,lise_15679834,biscuit,"['g de farine', 'g de sucre', 'g de noisettes', 'g de beurre', 'pincée de sel', 'oeuf', 'paquet de sucre vanillé']","['gramme de farine', 'gramme de sucre', 'gramme de noisette', 'gramme de beurre', 'pincée de sel', 'oeuf', 'paquet de sucre vanillé']","['farine', 'sucre', 'noisette', 'beurre', 'sel', 'oeuf', 'sucre vanillé']","['général', 'végétarien']"
446,https://www.marmiton.org/recettes/recette_asperges-a-la-flamande-recette-belge-bien-connue_22061.aspx,asperges à la flamande (recette belge bien connue),"['entrée', 'végétarien', 'sans gluten', 'entrée facile', 'spécial belgique']",entrée,40.0,Coût moyen,très facile,4.4,3200.0,72,Françoise de Belgique,legume,"['asperges', 'asperge', 'oeuf', 'g de beurre', 'persil', 'sel']","['asperge', 'asperge', 'oeuf', 'gramme de beurre', 'persil', 'sel']","['asperge', 'asperge', 'oeuf', 'beurre', 'persil', 'sel']","['général', 'végétarien', 'sans gluten']"
